search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1,American Eagle Super Soft Graphic T-Shirt,950.0,50,475.0,4.4,89,official_store,american,Jumia
2,American Eagle AE Super Soft Graphic T-Shirt,700.0,50,350.0,4.4,97,official_store,american,Jumia
3,American Eagle AE Super Soft Logo Graphic T-Shirt.,1300.0,30,910.0,4.9,10,official_store,american,Jumia
4,Mesery Bundle Of (4) Cotton Stretch Plain Tank Tops,399.0,50,199.99,4.1,124,official_store,mesery,Jumia
5,American Eagle Super Soft Graphic T-Shirt,950.0,50,475.0,4.4,86,official_store,american,Jumia
6,American Eagle AE Super Soft Logo Graphic T-Shirt.,1300.0,30,910.0,4.7,14,official_store,american,Jumia
7,American Eagle AE Super Soft Graphic T-Shirt,800.0,50,400.0,5.0,6,official_store,american,Jumia
8,American Eagle SUPER SOFT LOGO GRAPHIC T-SHIRT,800.0,50,400.0,4.4,39,official_store,american,Jumia
9,American Eagle Super Soft Graphic T-Shirt,700.0,50,350.0,4.1,84,official_store,american,Jumia
10,American Eagle Super Soft Graphic T-Shirt,750.0,50,375.0,4.5,34,official_store,american,Jumia
11,American Eagle Super Soft Icon T-Shirt,850.0,40,510.0,4.7,218,official_store,american,Jumia
12,American Eagle Super Soft Graphic T-Shirt,750.0,50,375.0,4.3,34,official_store,american,Jumia
13,American Eagle Super Soft Icon T-Shirt,850.0,40,510.0,4.8,43,official_store,american,Jumia
14,Izor Men's Casual T-Shirt - Aqua Blue,599.0,69,184.0,4.1,371,official_store,izor,Jumia
15,American Eagle Super Soft Icon T-Shirt,850.0,40,510.0,4.6,155,official_store,american,Jumia
16,American Eagle AE Super Soft Logo Graphic T-Shirt.,1300.0,30,910.0,5.0,5,official_store,american,Jumia
17,Casual-T-shirt -Blue,299.0,67,99.0,4.0,4,Non,Not a brand,Jumia
18,American Eagle AE Elevated Graphic Tee,750.0,50,375.0,4.4,84,official_store,american,Jumia
19,American Eagle AE Super Soft Dip-Dye Logo Graphic T-Shirt.,1300.0,30,910.0,5.0,13,official_store,american,Jumia
20,M Sou Plain Long Sleeves Short Front Rose Button Down Shirt,269.99,50,135.0,4.3,8,Non,Not a brand,Jumia
21,American Eagle AE Striped Polo Shirt,1000.0,50,500.0,4.6,10,official_store,american,Jumia
22,American Eagle AE Super Soft Graphic T-Shirt,800.0,50,400.0,4.8,5,official_store,american,Jumia
23,American Eagle AE Super Soft Graphic T-Shirt,700.0,50,350.0,4.6,32,official_store,american,Jumia
24,Hero Basic Crow Neck  For Men 95% Cotton 5% Lycra -White,165.0,21,130.0,4.1,62,Non,Not a brand,Jumia
25,American Eagle Super Soft Logo Graphic T-Shirt,800.0,50,400.0,3.0,3,official_store,american,Jumia
26,American Eagle AE Super Soft Graphic T-Shirt,700.0,50,350.0,4.1,27,official_store,american,Jumia
