,search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
0,1,Hero Basic Round Neck T- Shirt For Men Black,165.0,21,130.0,4.2,41,Non,Not a brand,Jumia
1,2,Izor Bi-tone Half Sleeves Rounded Tee - Olive & Black,420.0,59,174.0,4.3,131,official_store,izor,Jumia
2,3,Pavone Black & White Heather Round Neck Tee,300.0,67,99.0,4.6,8,Non,Not a brand,Jumia
3,4,Round Neck  Long Sleeves T-Shirt - Black,105.0,6,99.0,3.3,4,Non,Not a brand,Jumia
4,5,Kubo Curved Raglan Round Neck T-Shirt With Decorated Stitching Details - Dark Olive,210.0,34,139.0,,0,Non,Not a brand,Jumia
5,6,Pavone Black & Charcoal Heather Round Neck Tee,300.0,67,99.0,4.7,3,Non,Not a brand,Jumia
6,7,Izor Casual Round Short Sleeves Slip On T-Shirt - Black & Green,499.0,67,164.0,4.3,19,official_store,izor,Jumia
7,8,Izor Round Collar Half Sleeves Dark Yellow T-Shirt,450.0,70,134.0,3.3,7,official_store,izor,Jumia
8,9,Activ Chest Printed Round Neck Black T-Shirt,499.0,24,379.0,,0,official_store,activ,Jumia
9,10,Ted Marchel Plain Pattern Round Neck T-Shirt- Black,125.0,0,125.0,4.0,3,Non,Not a brand,Jumia
10,11,Izor Plain Basic Short Sleeves Round Neck T-Shirt - Black,699.0,76,165.0,3.7,3,official_store,izor,Jumia
11,12,"White Rabbit ""W.Rabbit EST 1979"" Printed Round Neck T-Shirt - Black, Grey & Orange",383.0,50,191.0,4.0,1,Non,Not a brand,Jumia
12,13,Pavone White & Black Heather Round Neck Tee,300.0,67,99.0,3.8,4,Non,Not a brand,Jumia
13,14,Activ Black Short Sleeves Round Collar Printed T-Shirt,499.0,34,329.0,,0,official_store,activ,Jumia
14,15,Direwolf D Wolfstore Tshirt Bts Cotton Round Neck Black,280.0,0,280.0,4.0,3,Non,Not a brand,Jumia
15,16,Activ Round Neck Summer Cotton Black Tee,499.0,24,379.0,4.0,1,official_store,activ,Jumia
16,17,Black Cotton Mens Round Neck Half Sleeve T Shirt,290.0,40,175.0,,0,Non,Not a brand,Jumia
17,18,"OneHand T-Shirt Cotton Printed ""be Happy"" Round Neck Short Sleeves - Black",249.0,0,249.0,5.0,2,Non,Not a brand,Jumia
18,19,Pavone Printed Short Sleeves Round Neck T-Shirt - Dark Grey,350.0,53,165.0,5.0,2,Non,Not a brand,Jumia
19,20,Fashion Men's Shirt Cuff Links Round Pattern Wedding Party Business Gift Black,146.0,12,129.0,,0,Non,Not a brand,Jumia
20,21,Fashion (black)Oversized T-shirt Men&#39;s Lightning Print Solid Color Tees Shirt Spring Summer New Round Neck Casual Man Half Short Sleeves Tops OLD,1824.0,42,1050.0,,0,Non,Not a brand,Jumia
21,22,Activ Stitched & Printed Patterned Short Sleeves Round Collar T-Shirt - Black,499.0,28,359.0,,0,official_store,activ,Jumia
22,23,Izor Plain Basic Round Neck T-Shirt With Side Pocket - Dark Grey,699.0,76,165.0,1.0,1,official_store,izor,Jumia
23,24,Andora Black Round Neck Printed Lavender Tee,269.0,60,149.0,,0,official_store,andora,Jumia
24,25,White Rabbit Embroiedered Bear Round Neck Cotton Tee - Heather Dark Grey,341.0,50,170.0,,0,Non,Not a brand,Jumia
25,26,OneHand T-Shirt Cotton Round Neck Short Sleeves - Black,249.0,0,249.0,4.0,1,Non,Not a brand,Jumia
26,27,Plain Basic Round Neck Oversized T-Shirt - Black,360.0,50,179.0,,0,Non,Not a brand,Jumia
27,28,White Rabbit Round Collar Fashionable Colorful T-Shirt -Hot Pink & Black,391.0,50,195.0,,0,Non,Not a brand,Jumia
28,29,White Rabbit Round Collar Pique T-shirt  - Black,536.0,50,268.0,,0,Non,Not a brand,Jumia
29,30,Direwolf Naruto Printed Cotton T-shirt Round Neck - Black,270.0,0,270.0,,0,Non,Not a brand,Jumia
30,31,Direwolf Attack On Titan Tshirt Printed Cotton T-shirt Round Neck - Black,299.0,0,299.0,,0,Non,Not a brand,Jumia
31,32,"White Rabbit Chest Printed Round Neck Tee - Yellow , White & Black",372.0,50,186.0,,0,Non,Not a brand,Jumia
32,33,Andora Round Neck Black Print Text Over Heather Grey Tee,375.0,66,129.0,,0,official_store,andora,Jumia
33,34,Kastor Round Neck Buttoned Dark Blue Henley T-Shirt,300.0,0,300.0,,0,Non,Not a brand,Jumia
34,35,White Rabbit Comfy Printed Spark Sign Round Collar T-shirt - Dark Grey,324.0,50,162.0,,0,Non,Not a brand,Jumia
35,36,Izor Basic Round Neck Regular Fit T-Shirt - Dark Beige,650.0,44,364.0,5.0,1,official_store,izor,Jumia
36,37,Direwolf Naruto Tshirt Printed Cotton Round Neck Black,235.0,0,235.0,,0,Non,Not a brand,Jumia
37,38,White Rabbit Printed Round Neck Cotton Elegant Tee - Black,341.0,50,170.0,,0,Non,Not a brand,Jumia
38,39,Izor Round Collar Half Sleeves Black T-Shirt,450.0,70,134.0,4.0,45,official_store,izor,Jumia
39,40,"OneHand T-Shirt Cotton Printed ""LIMITED EDITION"" Round Neck Short Sleeves - Black",249.0,0,249.0,,0,Non,Not a brand,Jumia
40,41,Direwolf D Wolfstore Tshirt Friends Printed Cotton Round Neck Black,280.0,0,280.0,5.0,1,Non,Not a brand,Jumia
41,42,White Rabbit Summer Round Cotton T-Shirt - Black,280.0,50,140.0,,0,Non,Not a brand,Jumia
42,43,"Half-sleeved Cotton T-shirt With Buttons, Round Neck, Black",225.0,33,150.0,,0,Non,Not a brand,Jumia
43,44,OneHand T-Shirt Cotton Printed Round Neck Short Sleeves - Black,249.0,0,249.0,,0,Non,Not a brand,Jumia
44,45,Izor Basic Round Neck Solid Brick Orange T-Shirt With Black Neck Collar,499.0,63,184.0,4.0,1,official_store,izor,Jumia
45,46,"OneHand T-Shirt Cotton Printed ""كن حرآ"" Round Neck Short Sleeves - Black",249.0,0,249.0,4.0,1,Non,Not a brand,Jumia
46,47,Fashion Men Casual 3D Printing Lightning T-shirt Round Neck-Black,730.0,50,365.0,,0,Non,Not a brand,Jumia
47,48,T-shirt Painted Stay Strong Round Neck Half Sleeve For Men Black Color,149.0,0,149.0,,0,Non,Not a brand,Jumia
48,49,"OneHand T-Shirt Cotton Printed ""Run"" Round Neck Short Sleeves - Black",249.0,0,249.0,,0,Non,Not a brand,Jumia
49,50,White Rabbit Round Neck Slip On Cotton Dark Green T-Shirt,295.0,50,147.0,5.0,1,Non,Not a brand,Jumia
50,51,Lemarche Set Of 4 Men Round Neck Tees - Black,499.0,0,499.0,,0,Non,Not a brand,Jumia
51,52,Science Turtles T-Shirt Men Mutant Ninja Short Sleeve Humor Tee Shirt Round Neck 100% Cotton Funny Tops Printed Graphic T Shirt-black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
52,53,Andora Black Tee With Chest Pockets & Round Neck,374.0,33,249.0,,0,official_store,andora,Jumia
53,54,Fashion Long Sleeve T-shirt for Men Polyester Dress Gar with Round Neck Blue and Black Color For Spring And Autumn,454.8,0,454.8,,0,Non,Not a brand,Jumia
54,55,Direwolf Dragon Ball Tshirt Printed Cotton Round Neck Black,280.0,0,280.0,2.0,1,Non,Not a brand,Jumia
55,56,Fashion Cuff Links Gold&Black Color Round Mens,883.0,45,482.0,5.0,1,Non,Not a brand,Jumia
56,57,White Rabbit Rounded Neck Half Sleeves Printed T-shirt - Black,341.0,50,170.0,,0,Non,Not a brand,Jumia
57,58,"White Rabbit ""Rabbit Earth"" Print  Round Neck T-Shirt- Black",280.0,50,140.0,,0,Non,Not a brand,Jumia
58,59,Printed Heart Round Neck T-Shirt - Black,300.0,0,300.0,,0,Non,Not a brand,Jumia
59,60,Direwolf T Shirt Printed Cotton Round Neck Black,265.0,0,265.0,3.0,1,Non,Not a brand,Jumia
60,61,Unisex Printed Funny -  Cotton Round Neck T-Shirt - Black,300.0,0,300.0,,0,Non,Not a brand,Jumia
61,62,Fashion Man's Viking T Shirts Raven Valhalla T-Shirt Vintage Round Neck Short Sleeves Tops 100% Cotton Tee Shirt Original-466483174-Black,1551.0,42,900.0,,0,Non,Not a brand,Jumia
62,63,Fashion Man's Viking T Shirts Raven Valhalla T-Shirt Vintage Round Neck Short Sleeves Tops 100% Cotton Tee Shirt Original-466491389-Black,1551.0,42,900.0,,0,Non,Not a brand,Jumia
63,64,Lemarche Solid Rounded Men Casual T-shirt - Black,149.0,0,149.0,5.0,1,Non,Not a brand,Jumia
64,65,White Rabbit Round Neck Short Sleeves Regular Fit Tee - Black,381.0,50,190.0,,0,Non,Not a brand,Jumia
65,66,Print N Go Round Neck Cotton T-shirt - Black,350.0,35,229.0,,0,Non,Not a brand,Jumia
66,67,White Rabbit Chest Printed Round Neck Black Tee,390.0,50,195.0,,0,Non,Not a brand,Jumia
67,68,Direwolf One Punch Man Printed Cotton T-shirt Round Neck - Black,280.0,0,280.0,5.0,1,Non,Not a brand,Jumia
68,69,Fashion Classic Vlone Short-sleeved Female Couple Loose Street Hip-hop Big V Trend T-shirt Men's Cotton Round Neck 065-black,1818.0,42,1055.0,,0,Non,Not a brand,Jumia
69,70,White Rabbit Vintage CD Printed Casual Round Neck Tee - Black,350.0,50,175.0,,0,Non,Not a brand,Jumia
70,71,Classic Vlone Short-sleeved Female Couple Loose Street Hip-hop Big V Trend T-shirt Men's Cotton Round Neck 065-black,2054.4,41,1221.76,,0,Non,Not a brand,Jumia
71,72,Fashion Long Sleeve T-shirt for Men Polyester Dress Gar with Round Neck Blue and Black Color For Spring And Autumn,454.8,0,454.8,,0,Non,Not a brand,Jumia
72,73,White Rabbit Space Printed Slip On Round Neck T-Shirt - Black,572.0,50,286.0,,0,Non,Not a brand,Jumia
73,74,"White Rabbit ""ًWatch Out""  Round Neck T-Shirt- Black",319.0,50,159.0,,0,Non,Not a brand,Jumia
74,75,White Rabbit Round Neck Slip On Tee With Stitched Patch - Black,350.0,50,175.0,,0,Non,Not a brand,Jumia
75,76,White Rabbit Round Collar Fashionable T-Shirt - Hot Pink & Dark Mint,391.0,50,195.0,,0,Non,Not a brand,Jumia
76,77,Unisex Printed Funny -  Cotton Round Neck T-Shirt - Black,300.0,0,300.0,,0,Non,Not a brand,Jumia
77,78,Unisex Printed Funny -  Cotton Round Neck T-Shirt - Black,300.0,0,300.0,,0,Non,Not a brand,Jumia
78,79,Unisex Printed Funny -  Cotton Round Neck T-Shirt - Black,300.0,0,300.0,,0,Non,Not a brand,Jumia
79,80,Fashion  Black Grey Contrast Round Neck T-Shirt,1960.0,45,1069.2,,0,Non,Not a brand,Jumia
80,81,"White Rabbit ""White/Black) Round NeckT-Shirt-Whte",305.0,50,152.0,,0,Non,Not a brand,Jumia
81,82,Ravin Round Neck Slip On Printed T-Shirt - Black & White.,389.99,23,299.99,,0,official_store,ravin,Jumia
82,83,White Rabbit Slip On Round Collar Comfy T-Shirt - Black,341.0,50,170.0,,0,Non,Not a brand,Jumia
83,84,Izor Basic Round Neck Regular Fit T-Shirt - Dark Grey,650.0,44,364.0,,0,official_store,izor,Jumia
84,85,Direwolf Tshirt Printed Cotton Round Neck Black,270.0,0,270.0,,0,Non,Not a brand,Jumia
85,86,White Rabbit Printed Round Neck Cotton T-Shirt - Black,282.0,50,141.0,,0,Non,Not a brand,Jumia
86,87,White Rabbit Side Print Round Neck Cotton Tee - Black,339.0,50,169.0,,0,Non,Not a brand,Jumia
87,88,"White Rabbit Chest Printed Round Neck Tee - Black, White & Yellow",372.0,50,186.0,,0,Non,Not a brand,Jumia
88,89,Direwolf Naruto TShirt Printed Cotton Round Neck Black,280.0,0,280.0,,0,Non,Not a brand,Jumia
89,90,"White Rabbit ""ً’Milano,Paris, LA ""  Round Neck T-Shirt- Black",280.0,50,140.0,,0,Non,Not a brand,Jumia
90,91,White Rabbit Comfy Printed Spark Sign Round Collar T-shirt -Black,324.0,50,162.0,,0,Non,Not a brand,Jumia
91,92,"White Rabbit ""Rabbit Most Dynamic Wear""  Round Neck T-Shirt- Black",314.0,50,157.0,,0,Non,Not a brand,Jumia
92,93,White Rabbit Slip On Round Collar Cotton T-Shirt - Black,341.0,50,170.0,4.0,1,Non,Not a brand,Jumia
93,94,"Active Color Block Round Neck T-Shirt - Mustard, Black & White",399.0,54,185.0,,0,official_store,active,Jumia
94,95,"White Rabbit ""White/Black) Round NeckT-Shirt- Black",305.0,50,152.0,2.5,2,Non,Not a brand,Jumia
95,96,Izor Plain Basic Round Neck T-Shirt With Side Pocket - Dark Green,699.0,76,165.0,3.7,3,official_store,izor,Jumia
96,97,"White Rabbit ""Breaking My Heart"" Slip On Round Tee - Dark Navy Blue",341.0,50,170.0,,0,Non,Not a brand,Jumia
97,98,White Rabbit Black Front Print Round Neck Casual Tee,341.0,50,170.0,,0,Non,Not a brand,Jumia
98,99,White Rabbit Chest Printing Round T-shirt - Black,280.0,50,140.0,,0,Non,Not a brand,Jumia
99,100,White Rabbit Rounded Neck With Front Stitch T-Shirt - Black,341.0,50,170.0,,0,Non,Not a brand,Jumia
100,101,White Rabbit Self Patterned Slip On Round Neck Black T-Shirt,383.0,50,191.0,,0,Non,Not a brand,Jumia
101,102,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-24",1240.0,42,720.0,,0,Non,Not a brand,Jumia
102,103,Direwolf D WolfT Shirt Printed Cotton Round Neck Black,280.0,0,280.0,,0,Non,Not a brand,Jumia
103,104,"White Rabbit Printed & Stitched Round T-Shirt - Yellow, Black & White",383.0,50,191.0,,0,Non,Not a brand,Jumia
104,105,Naruto-T Shirts Anime Uchiha Eyes Printed Half Sleeve Casual Round Neck 100% Cotton Men Top EU Size-black,1516.48,39,925.44,,0,Non,Not a brand,Jumia
105,106,Man Round Neck Bodysuit Tops Mens Leisure Solid Color Jumpsuit Tank Tops Sexy Fitness Sleeveless Romper Vests Plus Size Black SFH,881.6,39,537.92,,0,Non,Not a brand,Jumia
106,107,MYDBSH 2019 Summer Cotton Round Neck Solid T Shirts Casual Sleeveless T Shirt Men Fitness Bodybuilder T-Shirt Muscle Man Tshirt(V Neck Black),1088.0,42,631.0,,0,Non,Not a brand,Jumia
107,108,"White Rabbit Stitched ""WR"" Black Short Sleeves Round Collar T-Shirt",446.0,50,223.0,,0,Non,Not a brand,Jumia
108,109,"White Rabbit ""Have A Good Time"" Round Neck T-Shirt - Black",341.0,50,170.0,,0,Non,Not a brand,Jumia
109,110,Fashion Naruto-T Shirts Anime Uchiha Eyes Printed Half Sleeve Casual Round Neck 100% Cotton Men Top EU Size-black,1425.0,42,827.0,,0,Non,Not a brand,Jumia
110,111,Fashion Pure Black Men's Simple Lines Printed Short-sleeved Tops Low-profile Versatile Thin Daily Round Neck Pullover Comfortable Breath-SY034,922.0,42,535.0,,0,Non,Not a brand,Jumia
111,112,Fashion (black)Oversized T-shirt Men's Lightning Print Solid Color Tees Shirt Spring Summer New Round Neck Casual Man Half Short Sleeves Tops SCH,1789.0,42,1030.0,,0,Non,Not a brand,Jumia
112,113,Direwolf T Shirt Printed Cotton Round Neck Black,280.0,0,280.0,3.0,1,Non,Not a brand,Jumia
113,114,AGU Patch Round Neck T-Shirt - Black,220.0,0,220.0,5.0,1,Non,Not a brand,Jumia
114,115,Weels Stand1 Round Shirt Black,390.0,0,390.0,,0,Non,Not a brand,Jumia
115,116,White Rabbit Printed Cap Round Neck Cotton Tee - Black,453.0,50,226.0,,0,Non,Not a brand,Jumia
116,117,Kubo Printed Round Neck Slip On T-Shirt - Dark Grey,250.0,42,144.0,,0,Non,Not a brand,Jumia
117,118,Direwolf T Shirt Printed Cotton Round Neck Black,280.0,0,280.0,,0,Non,Not a brand,Jumia
118,119,Unisex Printed Funny -  Cotton Round Neck T-Shirt - Black,300.0,0,300.0,,0,Non,Not a brand,Jumia
119,120,White Rabbit Printed Pattern Round Collar Short Sleeves Black T-Shirt,473.0,50,236.0,,0,Non,Not a brand,Jumia
120,121,White Rabbit Printed Pattern Black Short Sleeves Round Collar T-Shirt,446.0,50,223.0,,0,Non,Not a brand,Jumia
121,122,"White Rabbit Printed & Stitched Patterned Round Neck T-Shirt - Black, Gold & White",383.0,50,191.0,,0,Non,Not a brand,Jumia
122,123,Fashion Mens Plain Black Round Neck Tshirts,1260.0,10,1134.0,,0,Non,Not a brand,Jumia
123,124,Fashion Mens Unique Plain BLACK Round Neck Tshirts With Design,2310.0,49,1176.0,,0,Non,Not a brand,Jumia
124,125,Fashion Summer Thin Section Round Neck Short Sleeve Simple Black Red And White Color Scheme Men's Top T-shirt Trend Bottoming Shirt Fash-N-006,1067.0,42,619.0,,0,Non,Not a brand,Jumia
125,126,Fashion The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-466644895-White,1551.0,42,900.0,,0,Non,Not a brand,Jumia
126,127,Fashion Pure Black Men's Simple Lines Printed Short-sleeved Tops Low-profile Versatile Thin Daily Round Neck Pullover Comfortable Breath-SY029,922.0,42,535.0,,0,Non,Not a brand,Jumia
127,128,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-Auburn,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
128,129,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-19",1240.0,42,720.0,,0,Non,Not a brand,Jumia
129,130,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-466640646-Black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
130,131,Fashion Men's Autumn Long Sleeved T-shirt Round Collar Slim Cotton Shirt Solid Color T-shirt -O Black,1117.0,42,648.0,,0,Non,Not a brand,Jumia
131,132,Fashion The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-Burgundy,1551.0,42,900.0,,0,Non,Not a brand,Jumia
132,133,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-466640163-Black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
133,134,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-Auburn,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
134,135,Men's Sleeveless Vest Outdoor Running Exercise Fitness Workout Round Neck Vest Quick Dry Breathable Male Muscle Fitness Tank Top Black SFH,958.4,39,584.64,,0,Non,Not a brand,Jumia
135,136,Fashion Man's Viking T Shirts Raven Valhalla T-Shirt Vintage Round Neck Short Sleeves Tops 100% Cotton Tee Shirt Original-466484993-Black,1551.0,42,900.0,,0,Non,Not a brand,Jumia
136,137,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
137,138,Men Tank Tops Mesh Patchwork 2021 Round Neck Sleeveless See Through Sexy Vests Streetwear Party Nightclub Men Crop Tops Black SFH,896.96,39,547.2,,0,Non,Not a brand,Jumia
138,139,Fashion Man's Viking T Shirts Raven Valhalla T-Shirt Vintage Round Neck Short Sleeves Tops 100% Cotton Tee Shirt Original-466491216-Black,1551.0,42,900.0,,0,Non,Not a brand,Jumia
139,140,Fashion Pure Black Men's Simple Lines Printed Short-sleeved Tops Low-profile Versatile Thin Daily Round Neck Pullover Comfortable Breath-SY031,922.0,42,535.0,,0,Non,Not a brand,Jumia
140,141,Man Round Neck Bodysuit Tops Mens Leisure Solid Color Jumpsuit Tank Tops Sexy Fitness Sleeveless Romper Vests Plus Size Black SFH,881.6,39,537.92,,0,Non,Not a brand,Jumia
141,142,Fashion The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-466640105-Black,1551.0,42,900.0,,0,Non,Not a brand,Jumia
142,143,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-5",1240.0,42,720.0,,0,Non,Not a brand,Jumia
143,144,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-466643863-Black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
144,145,Fashion Osaki Manga T Shirt Men 100% Cotton Casual T-Shirts Round Neck Anime Tee Shirt Short Sleeve Tops Plus Size-black-1,1551.0,42,900.0,,0,Non,Not a brand,Jumia
145,146,Fashion Summer Thin Section Round Neck Short Sleeve Simple Black Red And White Color Scheme Men's Top T-shirt Trend Bottoming Shirt Fash-N-004,1067.0,42,619.0,,0,Non,Not a brand,Jumia
146,147,Fashion Men T Shirt Long Leeve Cotton Spring Autumn Thermal Undershirt Armor Mens T Shirts Full Sleeve Round Neck Casual Men'S Tees-black,1208.0,42,701.0,,0,Non,Not a brand,Jumia
147,148,Fashion (Black)Build Brand Men&#39;s T-shirts Round Neck Diy Logo Basic Thickened Neckline Shirts Custom Your Design 25 Colors Plus Size S-5XL OLD,1501.0,42,870.0,,0,Non,Not a brand,Jumia
148,149,Fashion Summer Thin Section Round Neck Short Sleeve Simple Black Red And White Color Scheme Men's Top T-shirt Trend Bottoming Shirt Fash-N-003,1067.0,42,619.0,,0,Non,Not a brand,Jumia
