search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1,Nokia 106 (2018) - 1.8-inch Dual SIM Mobile Phone - Dark Grey,875.0,3,850.0,3.9,21,official_store,nokia,Jumia
2,Samsung Galaxy A04s - 6.5-inch 4GB/128GB Dual Sim 4G Mobile Phone - Black,6666.0,13,5799.0,4.0,22,Non,Not a brand,Jumia
3,Samsung Galaxy A34 5G - 6.6-inch 8GB/256GB Dual Sim - Mobile Phone - Awesome Silver,15666.0,22,12199.0,4.0,1,Non,Not a brand,Jumia
4,Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Black,7999.0,33,5390.0,4.0,2,Non,Not a brand,Jumia
5,Samsung Galaxy A54 5G - 6.6-inch 8GB/256GB Dual Sim - Mobile Phone - Awesome Graphite,19666.0,17,16299.0,,0,Non,Not a brand,Jumia
6,OPPO A58 - 6.72-inch 128GB/8GB Dual SIM 4G Mobile Phone - Glowing Black (D),8999.0,16,7599.99,,0,Non,Not a brand,Jumia
7,OPPO A17 - 6.56 Inch 64GB/4GB Dual SIM 4G Mobile Phone - Midnight Black (D),5999.0,6,5666.99,4.8,4,official_store,oppo,Jumia
8,"Samsung Galaxy A23 4GB Ram, 128GB Made In Egypt - Black",8049.0,4,7704.0,5.0,1,Non,Not a brand,Jumia
9,Cisco CP-7821-K9 UC IP Phone,11250.0,0,11250.0,,0,Non,Not a brand,Jumia
10,Iku A6 Dual Sim Gold 1GB RAM 32GB 3G,3099.0,0,3099.0,5.0,1,Non,Not a brand,Jumia
11,Samsung Guru Music 2 SM-B315E (Blue),1000.0,10,899.0,1.0,1,Non,Not a brand,Jumia
12,"Iku A7, 6.0 Inch 2GB RAM 16GB Internal Memory - Sky Blue",3399.0,41,1999.0,,0,Non,Not a brand,Jumia
13,"Iku A22 4G,  6.2 Inches, Dual SIM, 2GB Ram 32GB Internal Memory -  Navy Blue",2800.0,0,2800.0,1.5,2,Non,Not a brand,Jumia
14,OPPO A16K - 6.52 -inch 32GB/3GB Dual SIM Mobile Phone - Blue (D),4999.0,18,4099.99,3.0,1,official_store,oppo,Jumia
15,Itel It2160 - 1.77-inch Dual SIM Mobile Phone - Dark Blue,699.0,16,587.0,4.4,437,Non,Not a brand,Jumia
16,Samsung Galaxy A04e - 6.5-inch 32GB/3GB Dual Sim 4G Mobile Phone - Light Blue,4666.0,18,3838.0,3.8,4,Non,Not a brand,Jumia
17,OPPO A77 - 6.56-inch 128GB/4GB Dual SIM 4G Mobile Phone - Sky Blue (D),7444.0,8,6839.99,,0,official_store,oppo,Jumia
18,OPPO A58 - 6.72-inch 128GB/8GB Dual SIM 4G Mobile Phone - Dazzling Green (D),8999.0,16,7599.99,,0,Non,Not a brand,Jumia
19,Iku S3 Dual SIM Mobile Phone  – Black,515.0,0,515.0,5.0,1,Non,Not a brand,Jumia
