search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1,Injection Polo T-Shirt Black,499.0,50,250.0,,,official_store,sutra,sutra
2,Heavy Two Color T-Shirt Black,499.0,50,250.0,,,official_store,sutra,sutra
3,boy T-Shirt PR-Rubik Cube Black,299.0,50,150.0,,,official_store,sutra,sutra
4,Heavy Two Color T-Shirt SUTRA EST Black,499.0,50,250.0,,,official_store,sutra,sutra
5,Slim Fit Striped Round T-Shirt Black,499.0,50,250.0,,,official_store,sutra,sutra
6,Heavy Two Color T-Shirt Stay Unique Black,499.0,50,250.0,,,official_store,sutra,sutra
7,Knitwear Polo Line Collar Black,499.0,50,250.0,,,official_store,sutra,sutra
8,Over Size PR-Fitrah Black,349.0,50,175.0,,,official_store,sutra,sutra
9,Over Size PR-Turn Coffee Black,499.0,50,250.0,,,official_store,sutra,sutra
10,Over Size PR-hieroglyphic Black,499.0,50,250.0,,,official_store,sutra,sutra
11,Over Size PR-SUTRA Black,499.0,50,250.0,,,official_store,sutra,sutra
12,Over Size PR_Human Nature Black,349.0,50,175.0,,,official_store,sutra,sutra
1,Summer Milton Patch Karuh Black,399.0,50,200.0,,,official_store,sutra,sutra
2,Over Size PR-Passport Black,499.0,50,250.0,,,official_store,sutra,sutra
3,Over Size PR-Wings Black,349.0,50,175.0,,,official_store,sutra,sutra
4,Over Size PR-Brush Black,349.0,50,175.0,,,official_store,sutra,sutra
5,Over Size PR-I’m Programmer Black,499.0,50,250.0,,,official_store,sutra,sutra
6,Over Size PR-Sutra Num Black,349.0,50,175.0,,,official_store,sutra,sutra
7,Over Size PR-Anubis Black,499.0,50,250.0,,,official_store,sutra,sutra
8,Over Size PR-Egypt Map Black,499.0,50,250.0,,,official_store,sutra,sutra
9,Over Size PR-Fire Ball Black,349.0,50,175.0,,,official_store,sutra,sutra
10,Over Size PR-Pharaonic Wings Black,499.0,50,250.0,,,official_store,sutra,sutra
11,Milton boys Sweatpants Black,349.0,30,244.0,,,official_store,sutra,sutra
12,Poplin Thin Line Black,449.0,50,225.0,,,official_store,sutra,sutra
1,Over Size PR-Cairo Pocket Black,499.0,50,250.0,,,official_store,sutra,sutra
2,Over Size PR-X-Ray Black,349.0,50,175.0,,,official_store,sutra,sutra
3,Over Size PR-Sutra Star Black,349.0,50,175.0,,,official_store,sutra,sutra
4,Over Size PR-Unique Line Black,349.0,50,175.0,,,official_store,sutra,sutra
5,Over Size PR-Sutra Multi Color Black,349.0,50,175.0,,,official_store,sutra,sutra
6,Slim Fit Polo PR-S Black,499.0,50,250.0,,,official_store,sutra,sutra
7,Milton boys Sweatpants Dark Blue,349.0,30,244.0,,,official_store,sutra,sutra
8,OVER SIZE PR-SUTRA Havan,499.0,50,250.0,,,official_store,sutra,sutra
