search_rank,product_name,old_price,discount,new_price,source,rating,number_of_ratings,official_store,brand_name
1,Over Size  Heavy Jersey T-Shirt Wine,479.0,50,240.0,sutra,,,official_store,sutra
2,Linen Basic Shirt Dark Blue,749.0,50,375.0,sutra,,,official_store,sutra
3,Basic Slim Fit Round T-Shirt Mostard,299.0,50,150.0,sutra,,,official_store,sutra
4,Injection Polo T-Shirt Blue,499.0,50,250.0,sutra,,,official_store,sutra
5,Short Sleeves Stripped FZ Shirt Turquoise,499.0,50,250.0,sutra,,,official_store,sutra
6,Short Sleeves Lozenge Shirt Red,449.0,50,225.0,sutra,,,official_store,sutra
7,Short Sleeves Letter String Shirt Green,449.0,50,225.0,sutra,,,official_store,sutra
8,Over Size PR-Palestine Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
9,Slim Fit Polo Basic Light Blue,499.0,50,250.0,sutra,,,official_store,sutra
10,Slim Fit Polo Basic Iron,499.0,50,250.0,sutra,,,official_store,sutra
11,Over Size Beehive T-Shirt Green,299.0,50,150.0,sutra,,,official_store,sutra
12,Short Sleeves Printed Shirt 10,449.0,50,225.0,sutra,,,official_store,sutra
1,Over Size Beehive T-Shirt Oily,299.0,50,150.0,sutra,,,official_store,sutra
2,Linen Line Shirt Pink,699.0,50,350.0,sutra,,,official_store,sutra
3,Short Sleeves Mandela Shirt Black,449.0,50,225.0,sutra,,,official_store,sutra
4,Basic Cookies Shirt White,849.0,50,425.0,sutra,,,official_store,sutra
5,Basic Cookies Shirt Silver,849.0,50,425.0,sutra,,,official_store,sutra
6,Basic Cookies Shirt Indigo,849.0,50,425.0,sutra,,,official_store,sutra
7,Basic Cookies Shirt Coffee,849.0,50,425.0,sutra,,,official_store,sutra
8,Linen Line Shirt Coffee,699.0,50,350.0,sutra,,,official_store,sutra
9,Linen Line Shirt Mostard,699.0,50,350.0,sutra,,,official_store,sutra
10,Boy T-Shirt PR-Pacman Silver,299.0,50,150.0,sutra,,,official_store,sutra
11,Boy T-Shirt PR-Pacman White,299.0,50,150.0,sutra,,,official_store,sutra
12,Short Sleeves Island Shirt Coffee,429.0,50,215.0,sutra,,,official_store,sutra
1,Slim Fit Polo Basic Green,499.0,50,250.0,sutra,,,official_store,sutra
2,Short Sleeves Lozenge Shirt Green,449.0,50,225.0,sutra,,,official_store,sutra
3,Basic Slim Fit Round T-Shirt Green,299.0,50,150.0,sutra,,,official_store,sutra
4,Boy T-Shirt PR-Moabd White,299.0,50,150.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Horizontal Line Beige,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Pacman Black,299.0,50,150.0,sutra,,,official_store,sutra
7,Over Size Beehive T-Shirt Beige,299.0,50,150.0,sutra,,,official_store,sutra
8,Over Size Beehive T-Shirt Wine,299.0,50,150.0,sutra,,,official_store,sutra
9,Linen Line Shirt Mint,699.0,50,350.0,sutra,,,official_store,sutra
10,Basic Slim Fit Round T-Shirt Sky Blue,299.0,50,150.0,sutra,,,official_store,sutra
11,Over Size  Heavy Jersey T-Shirt Aqua,479.0,50,240.0,sutra,,,official_store,sutra
12,Hashtag Shirt Black,549.0,50,275.0,sutra,,,official_store,sutra
1,Injection Polo T-Shirt Gray,499.0,50,250.0,sutra,,,official_store,sutra
2,Short Sleeves River Shirt Blue,499.0,50,250.0,sutra,,,official_store,sutra
3,Short Sleeves Printed Shirt 11,449.0,50,225.0,sutra,,,official_store,sutra
4,Boy T-Shirt PR-One Nation Black,299.0,50,150.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Horizontal Line Sky Blue,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Pacman Games White,299.0,50,150.0,sutra,,,official_store,sutra
7,Boy T-Shirt PR-Arabic Sleeves Black,299.0,50,150.0,sutra,,,official_store,sutra
8,Short Sleeves Island Shirt Gray,429.0,50,215.0,sutra,,,official_store,sutra
9,Basic T-Shirt SUTRA Collar Black,499.0,50,250.0,sutra,,,official_store,sutra
10,Over Size Heavy Round T-Shirt Green,479.0,50,240.0,sutra,,,official_store,sutra
11,Over Size Heavy Round T-Shirt Black,479.0,50,240.0,sutra,,,official_store,sutra
12,Basic Slim Fit Round T-Shirt Indigo,299.0,50,150.0,sutra,,,official_store,sutra
1,Basic Slim Fit Round T-Shirt Petrol,299.0,50,150.0,sutra,,,official_store,sutra
2,Over Size Hoodie T-Shirt Light Move,299.0,50,150.0,sutra,,,official_store,sutra
3,Short Sleeves Letter String Shirt Beige,449.0,50,225.0,sutra,,,official_store,sutra
4,Linen Line Shirt Dark Blue,699.0,50,350.0,sutra,,,official_store,sutra
5,Magnetic Shirt Black,549.0,50,275.0,sutra,,,official_store,sutra
6,Magnetic Shirt Coffee,549.0,50,275.0,sutra,,,official_store,sutra
7,Scratch Shirt Coffee,549.0,50,275.0,sutra,,,official_store,sutra
8,Scratch Shirt Black,549.0,50,275.0,sutra,,,official_store,sutra
9,Slim Fit Polo Basic Brown,499.0,50,250.0,sutra,,,official_store,sutra
10,Basic T-Shirt SUTRA Collar Move,499.0,50,250.0,sutra,,,official_store,sutra
11,Slim Fit Polo Basic Dark Blue,499.0,50,250.0,sutra,,,official_store,sutra
12,Boy T-Shirt PR-Save The Planet White,299.0,50,150.0,sutra,,,official_store,sutra
1,Boy T-Shirt PR-Save The Planet Petrol,299.0,50,150.0,sutra,,,official_store,sutra
2,Half Button Up Shirt Gray,499.0,50,250.0,sutra,,,official_store,sutra
3,Short Sleeves River Shirt Green,499.0,50,250.0,sutra,,,official_store,sutra
4,Short Sleeves River Shirt Coffee,499.0,50,250.0,sutra,,,official_store,sutra
5,Short Sleeves Printed Shirt 14,449.0,50,225.0,sutra,,,official_store,sutra
6,Short Sleeves Printed Shirt 13,449.0,50,225.0,sutra,,,official_store,sutra
7,Short Sleeves Printed Shirt 7,449.0,50,225.0,sutra,,,official_store,sutra
8,Short Sleeves Printed Shirt 9,449.0,50,225.0,sutra,,,official_store,sutra
9,Basic Slim Fit Round T-Shirt Orange,299.0,50,150.0,sutra,,,official_store,sutra
10,Short Sleeves FZ Fullcover Shirt Red,499.0,50,250.0,sutra,,,official_store,sutra
11,Short Sleeves Triangle Shirt Gray,479.0,50,240.0,sutra,,,official_store,sutra
12,Basic T-Shirt SUTRA Collar Beige,499.0,50,250.0,sutra,,,official_store,sutra
1,Short Sleeves Anchor Shirt Beige,449.0,50,225.0,sutra,,,official_store,sutra
2,Short Sleeves Anchor Shirt Blue,449.0,50,225.0,sutra,,,official_store,sutra
3,Short Sleeves Flower Shirt Havan,429.0,50,215.0,sutra,,,official_store,sutra
4,boy T-Shirt PR-Glitch Black,299.0,50,150.0,sutra,,,official_store,sutra
5,Boy T-Shirt PR-Two Lines White&Orange,299.0,50,150.0,sutra,,,official_store,sutra
6,Boy T-Shirt PR-Two Lines White&Blue,299.0,50,150.0,sutra,,,official_store,sutra
7,Short Sleeves Palm Shirt Move,449.0,50,225.0,sutra,,,official_store,sutra
8,Short Sleeves FZ Flower Shirt Red,499.0,50,250.0,sutra,,,official_store,sutra
9,Boy T-Shirt PR-Scratch Petrol,299.0,50,150.0,sutra,,,official_store,sutra
10,Slim Fit Polo Basic Mint,499.0,50,250.0,sutra,,,official_store,sutra
