search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1,American Eagle AE Super Soft Graphic T-Shirt,800.0,50,400.0,4.8,5,Non,Not a brand,Jumia
2,American Eagle AE Super Soft Graphic T-Shirt,800.0,50,400.0,4.6,12,Non,Not a brand,Jumia
3,American Eagle Super Soft Graphic T-Shirt,950.0,50,475.0,4.3,93,Non,Not a brand,Jumia
4,Air Walk Printed Pattern Sleeves T-Shirt - Black,299.0,40,180.0,4.3,3,official_store,air,Jumia
5,American Eagle AE Super Soft Logo Graphic T-Shirt,700.0,50,350.0,4.4,33,Non,Not a brand,Jumia
6,American Eagle Super Soft Icon T-Shirt,850.0,40,510.0,4.8,43,Non,Not a brand,Jumia
7,Air Walk Printed Pattern Short Sleeves T-Shirt - Burgundy,299.0,40,180.0,5.0,3,official_store,air,Jumia
8,Air Walk Printed Pattern Short Sleeves T-Shirt - Heather Gray,299.0,40,180.0,3.0,1,official_store,air,Jumia
9,American Eagle AE Super Soft Logo Graphic T-Shirt,700.0,50,350.0,4.4,23,Non,Not a brand,Jumia
10,American Eagle Super Soft Graphic T-Shirt,950.0,50,475.0,4.4,89,Non,Not a brand,Jumia
11,Caesar MensSport T-Shirt With Short Sleeves,214.0,44,134.0,4.1,15,official_store,caesar,Jumia
12,American Eagle Super Soft Long-Sleeve Thermal Raglan T-Shirt,1400.0,40,840.0,5.0,4,Non,Not a brand,Jumia
13,American Eagle AE Short-Sleeve V-Neck T-Shirt,600.0,50,300.0,4.0,10,Non,Not a brand,Jumia
14,Air Walk Printed Pattern Short Sleeves T-Shirt - White,299.0,40,180.0,3.8,10,official_store,air,Jumia
15,Air Walk Printed Pattern Short Sleeves T-Shirt - Heather Gray,299.0,40,180.0,2.5,2,official_store,air,Jumia
16,American Eagle AE Elevated Graphic Tee,750.0,50,375.0,4.4,86,Non,Not a brand,Jumia
17,Caesar Mens Half NeckT-Shirt With Long Sleeves,450.0,61,174.0,0.0,0,Non,Not a brand,Jumia
18,American Eagle Super Soft Icon T-Shirt,850.0,40,510.0,4.4,77,Non,Not a brand,Jumia
19,Defacto Slim Fit V-Neck Basic Short Sleeve T-Shirt,199.08,30,139.02,4.6,9,official_store,defacto,Jumia
20,Caesar Mens Printed Round Neck T-Shirt,280.0,52,134.0,4.3,3,Non,Not a brand,Jumia
21,Caesar Mens Printed Round Neck T-Shirt,280.0,52,134.0,5.0,1,Non,Not a brand,Jumia
22,Long Sleeve T-Shirt  For Men,249.0,32,169.0,0.0,0,Non,Not a brand,Jumia
23,Caesar Mens Printed Round Neck T-Shirt,280.0,52,134.0,5.0,2,Non,Not a brand,Jumia
24,Kady Knitted Round Neck Long Sleeves T-shirt - Burgundy,415.0,71,120.0,0.0,0,official_store,kady,Jumia
25,Caesar Mens Printed Round Neck T-Shirt,280.0,52,134.0,5.0,2,Non,Not a brand,Jumia
26,Hero Basic V Neck T-shirt   95% Cotton  5%Lycra - For Men Black,165.0,0,165.0,4.4,13,Non,Not a brand,Jumia
27,Caesar MensSport T-Shirt With Short Sleeves,214.0,44,134.0,0.0,0,Non,Not a brand,Jumia
28,Defacto Regular Fit Polo T-Shirt,399.0,22,310.8,4.8,4,official_store,defacto,Jumia
29,Decathlon Men's Breathable Crew Neck Essential Fitness T-Shirt - Olive,249.0,10,224.0,0.0,0,Non,Not a brand,Jumia
30,Long Sleeve T-Shirt  For Men,249.0,32,169.0,0.0,0,Non,Not a brand,Jumia
31,American Eagle AE Super Soft T-Shirt,600.0,50,300.0,4.9,17,Non,Not a brand,Jumia
32,Defacto Regular Fit Crew Neck Basic Short Sleeve T-Shirt.,249.0,0,249.0,5.0,10,official_store,defacto,Jumia
33,Decathlon Dry Men's Running Breathable T-shirt - Red,199.0,5,189.0,0.0,0,Non,Not a brand,Jumia
34,Decathlon Men's Breathable Crew Neck Essential Fitness T-Shirt - Blue,249.0,16,209.0,0.0,0,Non,Not a brand,Jumia
35,Decathlon SHIRT F100 BLUE New,149.0,0,149.0,0.0,0,Non,Not a brand,Jumia
36,American Eagle AE Super Soft Logo Graphic T-Shirt,700.0,50,350.0,3.8,17,Non,Not a brand,Jumia
37,Caesar MensSport T-Shirt With Short Sleeves,214.0,44,134.0,0.0,0,Non,Not a brand,Jumia
38,Cottonil Outwear Basic Round Short Sleeves White T-shirt,195.0,15,165.75,4.1,7,official_store,cottonil,Jumia
39,American Eagle Super Soft Dip-Dye Logo Graphic T-Shirt,1300.0,40,780.0,0.0,0,Non,Not a brand,Jumia
40,American Eagle V-Neck T-Shirt,850.0,40,510.0,4.6,90,Non,Not a brand,Jumia
41,Caesar Mens Half NeckT-Shirt With Long Sleeves,450.0,60,179.0,5.0,1,Non,Not a brand,Jumia
42,Caesar Mens Printed Round Neck T-Shirt,280.0,52,134.0,5.0,1,Non,Not a brand,Jumia
43,American Eagle Super Soft Icon V-Neck T-Shirt.,850.0,40,510.0,4.6,126,Non,Not a brand,Jumia
44,Caesar Mens Printed Round Neck T-Shirt,280.0,52,134.0,5.0,1,Non,Not a brand,Jumia
45,Defacto Man Oversize Fit Crew Neck T-Shirt,349.0,43,199.0,0.0,0,official_store,defacto,Jumia
46,American Eagle AE Super Soft Logo Graphic T-Shirt,700.0,50,350.0,3.8,15,Non,Not a brand,Jumia
47,Kady Basic V-Neck Short Sleeves T-shirt - Heather Light Grey,279.0,70,85.0,4.0,5,Non,Not a brand,Jumia
48,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,3.0,1,official_store,mesery,Jumia
